date,open,high,low,close,volume
2025-01-06 09:15,34.3,35.9,32.85,35.75,4950
2025-01-06 09:16,34.15,36.05,34.05,36.05,5850
2025-01-06 09:17,36.05,36.05,34.1,35.45,10725
2025-01-06 09:18,35.45,35.5,34.9,35.35,8550
2025-01-06 09:19,35.05,35.45,33.6,33.95,11250
2025-01-06 09:20,34.2,36.1,33.85,36.1,7275
2025-01-06 09:21,35.4,35.4,33.3,33.3,4425
2025-01-06 09:22,33.45,33.45,31.7,32.3,8100
2025-01-06 09:23,32.25,32.85,32.25,32.5,2250
2025-01-06 09:24,32.5,33.1,31.5,32.15,2475
2025-01-06 09:25,32.4,32.75,32.0,32.1,3000
2025-01-06 09:26,32.05,32.8,31.95,32.1,3450
2025-01-06 09:27,31.7,32.2,31.35,31.35,900
2025-01-06 09:28,31.35,32.35,31.35,32.25,1425
2025-01-06 09:29,32.4,36.05,32.35,35.75,10200
2025-01-06 09:30,35.55,35.55,33.5,33.55,13275
2025-01-06 09:31,33.3,36.1,33.3,36.1,1950
2025-01-06 09:32,34.5,34.7,33.55,33.9,1725
2025-01-06 09:33,33.8,34.2,33.25,34.2,3600
2025-01-06 09:34,34.2,38.35,34.2,37.95,10650
2025-01-06 09:35,37.95,43.5,37.95,43.5,30000
2025-01-06 09:36,44.25,49.2,43.0,48.2,31875
2025-01-06 09:37,47.7,52.3,47.7,51.3,58575
2025-01-06 09:38,51.3,52.3,49.4,50.05,22725
2025-01-06 09:39,49.3,49.3,45.1,45.1,12525
2025-01-06 09:40,45.1,47.75,44.1,47.5,13875
2025-01-06 09:41,47.5,50.3,47.5,49.8,14925
2025-01-06 09:42,49.8,51.55,47.95,47.95,12825
2025-01-06 09:43,47.55,47.9,45.6,47.9,5925
2025-01-06 09:44,48.7,49.85,48.7,48.95,4275
2025-01-06 09:45,49.8,51.2,49.8,49.85,8325
2025-01-06 09:46,48.6,50.85,48.6,50.7,6150
2025-01-06 09:47,50.75,50.75,48.5,49.85,8625
2025-01-06 09:48,49.85,49.85,45.0,46.3,6975
2025-01-06 09:49,45.6,47.0,43.5,44.6,14325
2025-01-06 09:50,44.5,46.0,44.0,45.4,9075
2025-01-06 09:51,45.55,48.1,45.3,47.85,9900
2025-01-06 09:52,46.75,46.75,44.0,44.35,7125
2025-01-06 09:53,44.75,46.2,44.6,45.4,1425
2025-01-06 09:54,45.15,46.65,44.8,46.45,14325
2025-01-06 09:55,46.25,47.1,44.6,47.1,3600
2025-01-06 09:56,47.2,47.2,45.15,45.35,3825
2025-01-06 09:57,45.05,46.75,44.6,45.3,4500
2025-01-06 09:58,44.95,45.45,44.85,44.85,3750
2025-01-06 09:59,44.3,47.15,43.6,45.8,3600
2025-01-06 10:00,45.8,45.8,40.55,41.5,6300
2025-01-06 10:01,41.5,41.9,41.0,41.0,7800
2025-01-06 10:02,40.3,42.4,39.9,41.7,5100
2025-01-06 10:03,41.7,42.2,41.0,41.55,8325
2025-01-06 10:04,41.5,42.25,40.95,41.8,2475
2025-01-06 10:05,41.8,43.2,41.3,41.9,9675
2025-01-06 10:06,41.9,41.9,41.25,41.4,1125
2025-01-06 10:07,41.4,42.05,40.7,40.7,2175
2025-01-06 10:08,40.95,40.95,37.3,37.3,3225
2025-01-06 10:09,37.8,38.4,37.2,37.2,4875
2025-01-06 10:10,37.0,37.75,36.85,37.75,2850
2025-01-06 10:11,37.75,38.7,37.75,38.65,3000
2025-01-06 10:12,38.65,39.2,37.05,37.35,2625
2025-01-06 10:13,37.35,37.35,36.8,36.8,225
2025-01-06 10:14,36.8,36.95,36.0,36.3,1425
2025-01-06 10:15,36.1,36.1,35.0,35.0,3900
2025-01-06 10:16,35.0,35.0,32.85,34.15,10650
2025-01-06 10:17,34.3,35.45,34.0,34.8,3975
2025-01-06 10:18,34.8,35.5,34.7,35.5,2775
2025-01-06 10:19,35.5,37.1,35.5,36.35,7725
2025-01-06 10:20,36.8,38.9,36.75,38.3,12600
2025-01-06 10:21,38.3,38.3,37.25,37.6,525
2025-01-06 10:22,37.6,39.3,36.8,39.3,2175
2025-01-06 10:23,39.3,40.05,39.1,39.45,1725
2025-01-06 10:24,39.7,41.35,39.7,41.2,3150
2025-01-06 10:25,41.2,41.2,39.6,39.6,2175
2025-01-06 10:26,40.1,40.6,39.4,40.3,5550
2025-01-06 10:27,40.25,40.9,40.0,40.55,7125
2025-01-06 10:28,40.45,41.15,40.35,41.0,6525
2025-01-06 10:29,41.0,41.25,40.25,41.25,1350
2025-01-06 10:30,41.8,43.0,41.8,42.5,2025
2025-01-06 10:31,42.3,44.1,42.3,42.65,4950
2025-01-06 10:32,42.65,43.65,42.5,43.5,5025
2025-01-06 10:33,43.8,44.2,42.95,43.95,1800
2025-01-06 10:34,43.95,44.65,43.75,44.3,2550
2025-01-06 10:35,44.3,45.2,44.3,44.35,7050
2025-01-06 10:36,44.35,45.1,43.15,44.0,4650
2025-01-06 10:37,44.0,47.6,44.0,47.1,2400
2025-01-06 10:38,47.6,48.35,47.3,47.7,3075
2025-01-06 10:39,47.7,47.7,47.0,47.05,825
2025-01-06 10:40,46.85,47.25,46.5,47.1,825
2025-01-06 10:41,47.1,52.85,47.1,51.5,10875
2025-01-06 10:42,51.5,54.1,51.1,54.0,4950
2025-01-06 10:43,54.0,54.9,52.1,52.9,2700
2025-01-06 10:44,53.55,55.95,52.65,55.45,4200
2025-01-06 10:45,55.75,61.3,55.75,60.6,36000
2025-01-06 10:46,60.15,61.05,58.3,59.85,11700
2025-01-06 10:47,59.85,60.65,54.8,57.15,11775
2025-01-06 10:48,57.15,58.85,57.15,58.1,4575
2025-01-06 10:49,58.15,58.5,55.8,56.3,3075
2025-01-06 10:50,56.3,59.3,56.3,58.95,1800
2025-01-06 10:51,58.95,62.9,58.95,62.25,19650
2025-01-06 10:52,61.5,61.5,59.45,60.8,5325
2025-01-06 10:53,60.8,62.55,59.8,62.2,2775
2025-01-06 10:54,62.2,64.15,62.2,62.75,11775
2025-01-06 10:55,63.5,65.85,63.2,65.85,13425
2025-01-06 10:56,65.5,66.7,63.25,63.5,38475
2025-01-06 10:57,63.5,64.65,60.7,64.65,32100
2025-01-06 10:58,65.2,66.35,64.9,64.9,7950
2025-01-06 10:59,64.9,65.5,63.45,65.0,6150
